filename,rpot_ohm,n_maxima,f0_hz,period_samples,sg_window,m_min,m_max,signal_range,clip_pct,status
trace1.csv,2.7,1428,2865.3,349,17,6.5002,6.5786,13.8697,1.19,ok
trace2.csv,36.61,1426,2881.8,347,17,6.4932,6.5629,13.852,0.57,ok
trace3.csv,66.62,1424,2907.0,344,17,6.4905,6.5363,13.8239,0.24,ok
trace4.csv,101.13,1421,2898.6,345,17,6.4788,6.5241,13.8052,0.1,ok
trace5.csv,133.37,1419,2873.6,348,17,6.4738,6.5219,13.7891,0.04,ok
trace6.csv,170.61,1416,2840.9,352,17,6.4539,6.5121,13.7709,0.01,ok
trace7.csv,200.96,1414,2832.9,353,17,6.4464,6.5092,13.756,0.0,ok
trace8.csv,229.25,1411,2832.9,353,17,6.4298,6.5017,13.7515,0.0,ok
trace9.csv,250.51,1410,2824.9,354,17,6.427,6.5,13.7373,1.99,ok
trace10.csv,277.79,1407,2824.9,354,17,6.4198,6.4927,13.7141,1.23,ok
trace11.csv,319.46,1403,2840.9,352,17,6.4143,6.4688,13.679,0.43,ok
trace12.csv,356.14,1399,2857.1,350,17,6.4014,6.4504,13.6489,0.09,ok
trace13.csv,395.55,1394,2816.9,355,17,6.381,6.4385,13.6293,0.02,ok
trace14.csv,433.91,1388,2785.5,359,17,6.3618,6.427,13.6064,0.0,ok
trace15.csv,453.15,1386,2777.8,360,19,6.3531,6.4279,13.5983,0.0,ok
trace16.csv,469.73,1383,2770.1,361,19,6.3459,6.4093,13.5694,1.38,ok
trace17.csv,485.59,1380,2762.4,362,19,6.339,6.3973,13.5469,0.81,ok
trace18.csv,500.52,1377,2777.8,360,19,6.3361,6.3901,13.5348,0.42,ok
trace19.csv,515.68,1374,2785.5,359,17,6.3312,6.3845,13.512,0.25,ok
trace20.csv,533.05,1370,2793.3,358,17,6.3272,6.3737,13.5016,0.09,ok
trace21.csv,546.45,1367,2770.1,361,19,6.3153,6.3642,13.4801,0.04,ok
trace22.csv,559.73,1363,2747.3,364,19,6.3041,6.3624,13.4759,0.01,ok
trace23.csv,566.43,1361,2732.2,366,19,6.2959,6.3548,13.4667,0.0,ok
trace24.csv,574.95,1359,2724.8,367,19,6.2838,6.3545,13.4662,0.0,ok
trace25.csv,582.47,1356,2717.4,368,19,6.2744,6.3427,13.4482,0.0,ok
trace26.csv,591.79,1353,2710.0,369,19,6.2726,6.3458,13.4386,1.76,ok
trace27.csv,600.22,1349,2702.7,370,19,6.2627,6.341,13.4303,1.0,ok
trace28.csv,609.11,1346,2695.4,371,19,6.2587,6.3194,13.3954,0.59,ok
trace29.csv,619.81,1340,2710.0,369,19,6.247,6.2999,13.3627,0.21,ok
trace30.csv,628.02,1336,2702.7,370,19,6.2348,6.2908,13.3495,0.09,ok
trace31.csv,636.37,1332,2673.8,374,19,6.2234,6.2835,13.3338,0.02,ok
trace32.csv,646.74,1326,2652.5,377,19,6.2004,6.2705,13.3014,0.0,ok
trace33.csv,654.04,1320,2645.5,378,19,6.1808,6.2568,13.2884,1.73,ok
trace34.csv,661.28,1313,2638.5,379,19,6.1743,6.2387,13.2547,0.76,ok
trace35.csv,675.01,1296,2590.7,386,19,6.1253,6.1962,13.1576,0.02,ok
trace36.csv,685.44,1412,2865.3,349,17,-1.3287,0.274,3.5678,0.01,ok
trace37.csv,689.91,1414,2849.0,351,17,-1.2638,0.2322,3.5633,0.17,ok
trace38.csv,696.36,1410,2832.9,353,17,-1.1839,0.1735,3.5534,0.12,ok
trace39.csv,700.8,1412,2832.9,353,17,-1.1344,0.1261,3.5408,0.02,ok
trace40.csv,703.89,1414,2840.9,352,17,-1.1046,0.103,3.5421,0.03,ok
trace41.csv,706.59,1418,2857.1,350,17,-1.0872,0.0807,3.5424,0.01,ok
trace42.csv,707.52,1420,2865.3,349,17,-1.0808,0.0762,3.5525,0.37,ok
trace43.csv,710.16,1422,2857.1,350,17,-1.0606,0.0557,3.5518,0.01,ok
trace44.csv,713.3,1411,2809.0,356,17,-1.0212,0.0132,3.5277,0.04,ok
trace45.csv,717.02,1412,2816.9,355,17,-1.0009,-0.0145,3.5312,0.09,ok
trace46.csv,721.07,1412,2809.0,356,17,-0.9797,-0.0257,3.5553,0.01,ok
trace47.csv,724.07,1412,2816.9,355,17,-0.9645,-0.042,3.5626,0.0,ok
trace48.csv,726.91,1413,2824.9,354,17,-0.9532,-0.0471,3.5815,0.0,ok
trace49.csv,731.04,1416,2816.9,355,17,-0.9359,-0.0637,3.5953,0.04,ok
trace50.csv,732.15,1416,2832.9,353,17,-0.9297,-0.0672,3.6055,0.0,ok
trace51.csv,733.71,1417,2832.9,353,17,-0.9171,-0.0743,3.6082,0.16,ok
trace52.csv,733.98,1418,2824.9,354,17,-0.9147,-0.0789,3.6105,0.15,ok
trace53.csv,734.71,1418,2832.9,353,17,-0.9044,-0.0837,3.6117,0.02,ok
trace54.csv,737.09,1420,2832.9,353,17,-0.8825,-0.0971,3.6212,0.29,ok
trace55.csv,738.43,1420,2832.9,353,17,-0.8676,-0.1068,3.6168,0.03,ok
trace56.csv,740.01,1420,2849.0,351,17,-0.8464,-0.1189,3.6185,0.3,ok
