filename,rpot_ohm,residual_pct,status
trace1.csv,2.7,0.33,ok
trace2.csv,36.61,0.328,ok
trace3.csv,66.62,0.328,ok
trace4.csv,101.13,0.326,ok
trace5.csv,133.37,0.324,ok
trace6.csv,170.61,0.325,ok
trace7.csv,200.96,0.324,ok
trace8.csv,229.25,0.324,ok
trace9.csv,250.51,0.325,ok
trace10.csv,277.79,0.325,ok
trace11.csv,319.46,0.324,ok
trace12.csv,356.14,0.328,ok
trace13.csv,395.55,0.333,ok
trace14.csv,433.91,0.335,ok
trace15.csv,453.15,0.336,ok
trace16.csv,469.73,0.34,ok
trace17.csv,485.59,0.339,ok
trace18.csv,500.52,0.342,ok
trace19.csv,515.68,0.343,ok
trace20.csv,533.05,0.347,ok
trace21.csv,546.45,0.352,ok
trace22.csv,559.73,0.356,ok
trace23.csv,566.43,0.36,ok
trace24.csv,574.95,0.359,ok
trace25.csv,582.47,0.364,ok
trace26.csv,591.79,0.363,ok
trace27.csv,600.22,0.364,ok
trace28.csv,609.11,0.367,ok
trace29.csv,619.81,0.369,ok
trace30.csv,628.02,0.373,ok
trace31.csv,636.37,0.379,ok
trace32.csv,646.74,0.386,ok
trace33.csv,654.04,0.391,ok
trace34.csv,661.28,0.393,ok
trace35.csv,675.01,0.41,ok
trace36.csv,685.44,0.54,ok
trace37.csv,689.91,0.535,ok
trace38.csv,696.36,0.535,ok
trace39.csv,700.8,0.534,ok
trace40.csv,703.89,0.53,ok
trace41.csv,706.59,0.534,ok
trace42.csv,707.52,0.536,ok
trace43.csv,710.16,0.529,ok
trace44.csv,713.3,0.527,ok
trace45.csv,717.02,0.527,ok
trace46.csv,721.07,0.528,ok
trace47.csv,724.07,0.527,ok
trace48.csv,726.91,0.524,ok
trace49.csv,731.04,0.52,ok
trace50.csv,732.15,0.521,ok
trace51.csv,733.71,0.52,ok
trace52.csv,733.98,0.52,ok
trace53.csv,734.71,0.519,ok
trace54.csv,737.09,0.52,ok
trace55.csv,738.43,0.519,ok
trace56.csv,740.01,0.519,ok
trace57.csv,741.14,0.518,ok
trace58.csv,742.41,0.522,ok
trace59.csv,744.74,0.521,ok
trace60.csv,747.15,0.519,ok
trace61.csv,749.68,0.523,ok
trace62.csv,751.47,0.521,ok
trace63.csv,756.1,0.519,ok
trace64.csv,763.87,0.518,ok
trace65.csv,765.42,0.519,ok
trace66.csv,767.92,0.533,ok
trace67.csv,768.27,0.535,ok
trace68.csv,778.35,0.52,ok
trace69.csv,805.67,0.601,ok
trace70.csv,824.73,0.58,ok
trace71.csv,849.06,0.748,ok
trace72.csv,863.53,0.862,ok
trace73.csv,873.46,1.925,ok
trace74.csv,900.62,2.605,ok
trace75.csv,782.39,8.532,CHECK: not a clean divider
trace76.csv,,,error: non-physical divider coefficients; check channels/clipping
trace77.csv,,,error: non-physical divider coefficients; check channels/clipping
trace78.csv,,,error: non-physical divider coefficients; check channels/clipping
trace79.csv,,,error: non-physical divider coefficients; check channels/clipping
trace80.csv,,,error: non-physical divider coefficients; check channels/clipping
