         file     Rpot   P   floor    split  drift
  trace68.csv   778.35   1     2.1      nan    1.0
  trace67.csv   768.27   1     2.3      nan    1.5
  trace66.csv   767.92   2     2.5      6.7    1.7
  trace65.csv   765.42   2     2.9    147.4    1.3
  trace64.csv   763.87   2     2.6    230.8    1.2
  trace63.csv   756.10   2     2.7    395.9    1.1
  trace62.csv   751.47   2     2.8    465.1    1.0
  trace61.csv   749.68   2     2.9    494.3    1.0
  trace60.csv   747.15   2     4.8    526.3    1.4
  trace59.csv   744.74   4     4.4     73.4    1.1

  R_1 =  768.10 +- 0.18  bracket [767.92,768.27]  bracket midpoint
