sweep,filename,rpot_ohm,rpot_residual_pct,max_v
sweep forward,trace15.csv,858.04,4.574,-2.976877
sweep forward,trace15.csv,858.04,4.574,-2.975123
sweep forward,trace15.csv,858.04,4.574,-2.97934
sweep forward,trace15.csv,858.04,4.574,-2.974494
sweep forward,trace15.csv,858.04,4.574,-2.982523
sweep forward,trace15.csv,858.04,4.574,-2.98533
sweep forward,trace15.csv,858.04,4.574,-2.978469
sweep forward,trace15.csv,858.04,4.574,-2.977258
sweep forward,trace15.csv,858.04,4.574,-2.9798
sweep forward,trace15.csv,858.04,4.574,-2.977766
sweep forward,trace15.csv,858.04,4.574,-2.978942
sweep forward,trace15.csv,858.04,4.574,-2.980596
sweep forward,trace15.csv,858.04,4.574,-2.974724
sweep forward,trace15.csv,858.04,4.574,-2.980655
sweep forward,trace15.csv,858.04,4.574,-2.978859
sweep forward,trace15.csv,858.04,4.574,-2.980717
sweep forward,trace15.csv,858.04,4.574,-2.979075
sweep forward,trace15.csv,858.04,4.574,-2.975241
sweep forward,trace15.csv,858.04,4.574,-2.979586
sweep forward,trace15.csv,858.04,4.574,-2.975133
sweep forward,trace15.csv,858.04,4.574,-2.976341
sweep forward,trace15.csv,858.04,4.574,-2.983297
sweep forward,trace15.csv,858.04,4.574,-2.980549
sweep forward,trace15.csv,858.04,4.574,-2.978291
sweep forward,trace15.csv,858.04,4.574,-2.975584
sweep forward,trace15.csv,858.04,4.574,-2.983231
sweep forward,trace15.csv,858.04,4.574,-2.975345
sweep forward,trace15.csv,858.04,4.574,-2.978921
sweep forward,trace15.csv,858.04,4.574,-2.983332
sweep forward,trace15.csv,858.04,4.574,-2.97146
sweep forward,trace15.csv,858.04,4.574,-2.982006
sweep forward,trace15.csv,858.04,4.574,-2.9765
sweep forward,trace15.csv,858.04,4.574,-2.976379
sweep forward,trace15.csv,858.04,4.574,-2.976876
sweep forward,trace15.csv,858.04,4.574,-2.97719
sweep forward,trace15.csv,858.04,4.574,-2.981166
sweep forward,trace15.csv,858.04,4.574,-2.972511
sweep forward,trace15.csv,858.04,4.574,-2.978522
sweep forward,trace15.csv,858.04,4.574,-2.977321
sweep forward,trace15.csv,858.04,4.574,-2.980333
sweep forward,trace15.csv,858.04,4.574,-2.980481
sweep forward,trace15.csv,858.04,4.574,-2.972592
sweep forward,trace15.csv,858.04,4.574,-2.980768
sweep forward,trace15.csv,858.04,4.574,-2.982434
sweep forward,trace15.csv,858.04,4.574,-2.977683
sweep forward,trace15.csv,858.04,4.574,-2.976768
sweep forward,trace15.csv,858.04,4.574,-2.98278
sweep forward,trace15.csv,858.04,4.574,-2.98027
sweep forward,trace15.csv,858.04,4.574,-2.975434
sweep forward,trace15.csv,858.04,4.574,-2.973704
sweep forward,trace15.csv,858.04,4.574,-2.978592
sweep forward,trace15.csv,858.04,4.574,-2.977542
sweep forward,trace15.csv,858.04,4.574,-2.983371
sweep forward,trace15.csv,858.04,4.574,-2.976303
sweep forward,trace15.csv,858.04,4.574,-2.976235
sweep forward,trace15.csv,858.04,4.574,-2.976036
sweep forward,trace15.csv,858.04,4.574,-2.983322
sweep forward,trace15.csv,858.04,4.574,-2.980314
sweep forward,trace15.csv,858.04,4.574,-2.973528
sweep forward,trace15.csv,858.04,4.574,-2.978802
sweep forward,trace15.csv,858.04,4.574,-2.983292
sweep forward,trace15.csv,858.04,4.574,-2.979143
sweep forward,trace15.csv,858.04,4.574,-2.974144
sweep forward,trace15.csv,858.04,4.574,-2.972716
sweep forward,trace15.csv,858.04,4.574,-2.978997
sweep forward,trace15.csv,858.04,4.574,-2.977601
sweep forward,trace15.csv,858.04,4.574,-2.979226
sweep forward,trace15.csv,858.04,4.574,-2.981337
sweep forward,trace15.csv,858.04,4.574,-2.980352
sweep forward,trace15.csv,858.04,4.574,-2.978315
sweep forward,trace15.csv,858.04,4.574,-2.982119
sweep forward,trace15.csv,858.04,4.574,-2.976311
sweep forward,trace15.csv,858.04,4.574,-2.98034
sweep forward,trace15.csv,858.04,4.574,-2.985431
sweep forward,trace15.csv,858.04,4.574,-2.980581
sweep forward,trace15.csv,858.04,4.574,-2.983133
sweep forward,trace15.csv,858.04,4.574,-2.975074
sweep forward,trace15.csv,858.04,4.574,-2.978099
sweep forward,trace15.csv,858.04,4.574,-2.983826
sweep forward,trace15.csv,858.04,4.574,-2.980342
sweep forward,trace15.csv,858.04,4.574,-2.974703
sweep forward,trace15.csv,858.04,4.574,-2.976832
sweep forward,trace15.csv,858.04,4.574,-2.980854
sweep forward,trace15.csv,858.04,4.574,-2.977571
sweep forward,trace15.csv,858.04,4.574,-2.983063
sweep forward,trace15.csv,858.04,4.574,-2.976201
sweep forward,trace15.csv,858.04,4.574,-2.982773
sweep forward,trace15.csv,858.04,4.574,-2.97683
