sweep,filename,rpot_ohm,rpot_residual_pct,max_v
sweep back,trace1.csv,2.57,0.298,6.629572
sweep back,trace1.csv,2.57,0.298,6.633301
sweep back,trace1.csv,2.57,0.298,6.633016
sweep back,trace1.csv,2.57,0.298,6.631873
sweep back,trace1.csv,2.57,0.298,6.631458
sweep back,trace1.csv,2.57,0.298,6.630658
sweep back,trace1.csv,2.57,0.298,6.634688
sweep back,trace1.csv,2.57,0.298,6.636731
sweep back,trace1.csv,2.57,0.298,6.633916
sweep back,trace1.csv,2.57,0.298,6.629158
sweep back,trace1.csv,2.57,0.298,6.630744
sweep back,trace1.csv,2.57,0.298,6.632173
sweep back,trace1.csv,2.57,0.298,6.634302
sweep back,trace1.csv,2.57,0.298,6.632273
sweep back,trace1.csv,2.57,0.298,6.631987
sweep back,trace1.csv,2.57,0.298,6.630744
sweep back,trace1.csv,2.57,0.298,6.632344
sweep back,trace1.csv,2.57,0.298,6.632187
sweep back,trace1.csv,2.57,0.298,6.633359
sweep back,trace1.csv,2.57,0.298,6.630244
sweep back,trace1.csv,2.57,0.298,6.631415
sweep back,trace1.csv,2.57,0.298,6.632173
sweep back,trace1.csv,2.57,0.298,6.625857
sweep back,trace1.csv,2.57,0.298,6.632301
sweep back,trace1.csv,2.57,0.298,6.634588
sweep back,trace1.csv,2.57,0.298,6.632458
sweep back,trace1.csv,2.57,0.298,6.624785
sweep back,trace1.csv,2.57,0.298,6.632973
sweep back,trace1.csv,2.57,0.298,6.628829
sweep back,trace1.csv,2.57,0.298,6.630386
sweep back,trace1.csv,2.57,0.298,6.6289
sweep back,trace1.csv,2.57,0.298,6.629329
sweep back,trace1.csv,2.57,0.298,6.630043
sweep back,trace1.csv,2.57,0.298,6.632344
sweep back,trace1.csv,2.57,0.298,6.631687
sweep back,trace1.csv,2.57,0.298,6.630486
sweep back,trace1.csv,2.57,0.298,6.630844
sweep back,trace1.csv,2.57,0.298,6.629543
sweep back,trace1.csv,2.57,0.298,6.632558
sweep back,trace1.csv,2.57,0.298,6.632073
sweep back,trace1.csv,2.57,0.298,6.635302
sweep back,trace1.csv,2.57,0.298,6.634002
sweep back,trace1.csv,2.57,0.298,6.626985
sweep back,trace1.csv,2.57,0.298,6.627514
sweep back,trace1.csv,2.57,0.298,6.634859
sweep back,trace1.csv,2.57,0.298,6.632387
sweep back,trace1.csv,2.57,0.298,6.634102
sweep back,trace1.csv,2.57,0.298,6.630058
sweep back,trace1.csv,2.57,0.298,6.632087
sweep back,trace1.csv,2.57,0.298,6.629986
sweep back,trace1.csv,2.57,0.298,6.633059
sweep back,trace1.csv,2.57,0.298,6.631544
sweep back,trace1.csv,2.57,0.298,6.633016
sweep back,trace1.csv,2.57,0.298,6.632673
sweep back,trace1.csv,2.57,0.298,6.625685
sweep back,trace1.csv,2.57,0.298,6.6287
sweep back,trace1.csv,2.57,0.298,6.625342
sweep back,trace1.csv,2.57,0.298,6.632287
sweep back,trace1.csv,2.57,0.298,6.634216
sweep back,trace1.csv,2.57,0.298,6.632516
sweep back,trace1.csv,2.57,0.298,6.633187
sweep back,trace1.csv,2.57,0.298,6.633144
sweep back,trace1.csv,2.57,0.298,6.629901
sweep back,trace1.csv,2.57,0.298,6.632501
sweep back,trace1.csv,2.57,0.298,6.631687
sweep back,trace1.csv,2.57,0.298,6.632187
sweep back,trace1.csv,2.57,0.298,6.627814
sweep back,trace1.csv,2.57,0.298,6.633544
sweep back,trace1.csv,2.57,0.298,6.629558
sweep back,trace1.csv,2.57,0.298,6.632987
sweep back,trace1.csv,2.57,0.298,6.631301
sweep back,trace1.csv,2.57,0.298,6.630344
sweep back,trace1.csv,2.57,0.298,6.633516
sweep back,trace1.csv,2.57,0.298,6.63656
sweep back,trace1.csv,2.57,0.298,6.633473
sweep back,trace1.csv,2.57,0.298,6.633244
sweep back,trace1.csv,2.57,0.298,6.630415
sweep back,trace1.csv,2.57,0.298,6.626285
sweep back,trace1.csv,2.57,0.298,6.628
sweep back,trace1.csv,2.57,0.298,6.632758
sweep back,trace1.csv,2.57,0.298,6.624856
sweep back,trace1.csv,2.57,0.298,6.633544
sweep back,trace1.csv,2.57,0.298,6.632273
sweep back,trace1.csv,2.57,0.298,6.636917
sweep back,trace1.csv,2.57,0.298,6.633916
sweep back,trace1.csv,2.57,0.298,6.633873
sweep back,trace1.csv,2.57,0.298,6.630043
sweep back,trace1.csv,2.57,0.298,6.629643
sweep back,trace1.csv,2.57,0.298,6.631344
sweep back,trace1.csv,2.57,0.298,6.632487
sweep back,trace1.csv,2.57,0.298,6.6292
sweep back,trace1.csv,2.57,0.298,6.634573
sweep back,trace1.csv,2.57,0.298,6.631787
sweep back,trace1.csv,2.57,0.298,6.630501
sweep back,trace1.csv,2.57,0.298,6.622942
sweep back,trace1.csv,2.57,0.298,6.633859
sweep back,trace1.csv,2.57,0.298,6.6278
sweep back,trace1.csv,2.57,0.298,6.628857
sweep back,trace1.csv,2.57,0.298,6.636259
