filename,rpot_ohm,n_maxima,f0_hz,period_samples,sg_window,m_min,m_max,signal_range,clip_pct,status
trace1.csv,2.57,563,2917.2,857,43,6.6212,6.6384,13.9391,0.14,ok
trace2.csv,29.61,562,2870.3,871,43,6.6084,6.6385,13.9309,0.07,ok
trace3.csv,58.16,561,2828.1,884,45,6.5961,6.6353,13.9292,0.03,ok
trace4.csv,90.92,561,2805.8,891,45,6.5807,6.6268,13.9152,3.03,suspected clipping / rail plateaus
trace5.csv,129.41,559,2805.8,891,45,6.5612,6.6031,13.8913,1.23,ok
trace6.csv,165.79,558,2815.3,888,45,6.5556,6.5832,13.8661,0.45,ok
trace7.csv,202.74,557,2834.5,882,45,6.5527,6.5732,13.8531,2.71,suspected clipping / rail plateaus
trace8.csv,239.6,556,2870.3,871,43,6.5415,6.5689,13.8281,1.54,ok
trace9.csv,279.97,555,2809.0,890,45,6.5278,6.561,13.7963,0.54,ok
trace10.csv,317.83,554,2771.6,902,45,6.4979,6.5463,13.7683,2.35,suspected clipping / rail plateaus
trace11.csv,352.54,552,2768.5,903,45,6.4847,6.5281,13.744,1.04,ok
trace12.csv,385.75,551,2787.1,897,45,6.4796,6.498,13.7107,0.19,ok
trace13.csv,416.62,549,2857.1,875,43,6.4749,6.4923,13.7054,0.03,ok
trace14.csv,449.87,548,2834.5,882,45,6.4677,6.4871,13.6925,2.63,suspected clipping / rail plateaus
trace15.csv,481.31,546,2738.2,913,45,6.4402,6.4811,13.656,3.17,suspected clipping / rail plateaus
trace16.csv,514.54,544,2723.3,918,45,6.4171,6.4544,13.6079,1.24,ok
trace17.csv,538.64,542,2738.2,913,45,6.4095,6.4341,13.5784,0.28,ok
trace18.csv,554.78,540,2774.7,901,45,6.4075,6.4282,13.5713,0.07,ok
trace19.csv,570.29,539,2828.1,884,45,6.4039,6.4215,13.5613,0.02,ok
trace20.csv,588.99,537,2777.8,900,45,6.3975,6.4179,13.552,2.47,suspected clipping / rail plateaus
trace21.csv,607.61,535,2691.1,929,47,6.377,6.4146,13.5206,3.51,suspected clipping / rail plateaus
trace22.csv,627.57,532,2665.2,938,47,6.347,6.3897,13.4659,1.28,ok
trace23.csv,639.44,530,2656.7,941,47,6.338,6.3709,13.438,0.47,ok
trace24.csv,651.62,527,2708.6,923,47,6.3305,6.3517,13.4156,0.05,ok
trace25.csv,665.0,524,2662.4,939,47,6.3105,6.3436,13.3794,1.0,ok
trace26.csv,678.97,519,2601.5,961,49,6.271,6.3126,13.3129,1.04,ok
trace27.csv,689.75,514,2631.6,950,47,6.2533,6.2728,13.2597,2.48,suspected clipping / rail plateaus
trace28.csv,693.42,558,2870.3,871,43,-1.7146,0.4825,3.8374,0.07,ok
trace29.csv,709.09,558,2834.5,882,45,-1.3918,0.278,3.7565,0.01,ok
trace30.csv,720.65,558,2796.4,894,45,-1.1937,0.1538,3.7199,0.02,ok
trace31.csv,731.6,561,2815.3,888,45,-1.0755,0.0436,3.7061,0.02,ok
trace32.csv,734.17,561,2815.3,888,45,-1.053,0.0217,3.6995,0.01,ok
trace33.csv,734.17,561,2815.3,888,45,-1.053,0.0217,3.6995,0.01,ok
trace34.csv,734.79,558,2771.6,902,45,-1.0267,-0.0028,3.6801,0.0,ok
trace35.csv,742.92,558,2780.9,899,45,-0.9733,-0.0527,3.7083,0.1,ok
trace36.csv,748.9,560,2790.2,896,45,-0.9488,-0.0739,3.7377,0.07,ok
trace37.csv,751.71,560,2787.1,897,45,-0.9295,-0.0911,3.7479,0.01,ok
trace38.csv,754.15,560,2799.6,893,45,-0.9065,-0.1054,3.7541,0.01,ok
trace39.csv,756.35,561,2802.7,892,45,-0.8864,-0.1194,3.7559,0.04,ok
trace40.csv,757.76,562,2802.7,892,45,-0.8677,-0.1314,3.757,0.1,ok
trace41.csv,754.68,1406,2793.3,358,17,-0.8712,-0.1352,3.7382,0.01,ok
trace42.csv,755.51,1408,2824.9,354,17,-0.8552,-0.1469,3.7326,0.18,ok
trace43.csv,757.1,1408,2809.0,356,17,-0.8462,-0.1576,3.7341,0.01,ok
trace44.csv,759.07,1409,2824.9,354,17,-0.817,-0.1752,3.7344,0.04,ok
trace45.csv,760.56,1410,2832.9,353,17,-0.792,-0.1921,3.7368,0.09,ok
trace46.csv,762.45,1410,2809.0,356,17,-0.7601,-0.2202,3.727,0.46,ok
trace47.csv,764.57,1410,2824.9,354,17,-0.7408,-0.2333,3.7312,0.21,ok
trace48.csv,768.62,1412,2824.9,354,17,-0.7089,-0.2659,3.7341,0.05,ok
trace49.csv,770.82,1412,2832.9,353,17,-0.6914,-0.2855,3.7344,0.02,ok
trace50.csv,772.81,1412,2824.9,354,17,-0.6759,-0.3033,3.7296,0.72,ok
trace51.csv,775.01,1413,2832.9,353,17,-0.6527,-0.3291,3.7253,0.0,ok
trace52.csv,779.53,1414,2832.9,353,17,-0.5744,-0.4101,3.6667,0.01,ok
trace53.csv,779.54,1414,2832.9,353,17,-0.5446,-0.4339,3.6345,0.18,ok
trace54.csv,780.9,1415,2840.9,352,17,-0.5052,-0.477,3.5887,0.55,ok
trace55.csv,791.26,1421,2857.1,350,17,-0.5547,-0.5347,3.6528,0.03,ok
trace56.csv,796.77,1424,2849.0,351,17,-0.5823,-0.5579,3.6939,0.05,ok
trace57.csv,802.21,1426,2865.3,349,17,-0.6064,-0.5869,3.723,0.46,ok
trace58.csv,813.64,1432,2865.3,349,17,-0.6762,-0.657,3.7877,0.0,ok
trace59.csv,829.39,1441,2881.8,347,17,-0.8004,-0.7785,3.8517,0.0,ok
trace60.csv,843.96,1450,2907.0,344,17,-0.9495,-0.9275,3.8369,0.03,ok
trace61.csv,849.83,1458,2924.0,342,17,-1.2286,-1.118,3.5318,0.0,ok
trace62.csv,852.4,1463,2932.6,341,17,-1.3884,-1.2924,3.2126,0.02,ok
trace63.csv,855.88,1470,2949.9,339,17,-1.6024,-1.4999,2.8194,0.0,ok
trace64.csv,868.25,1483,2976.2,336,17,-2.0225,-1.967,1.9897,0.01,ok
trace65.csv,871.17,1493,2994.0,334,17,-2.3312,-2.292,1.4539,0.02,ok
trace66.csv,885.92,1501,3003.0,333,17,-2.5478,-2.5187,1.1032,0.0,ok
trace67.csv,892.59,1507,3021.1,331,17,-2.7434,-2.7329,0.7755,0.0,ok
trace68.csv,905.62,1513,3030.3,330,17,-2.9532,-2.9417,0.4878,0.0,ok
trace69.csv,914.95,1515,3039.5,329,17,-3.0515,-3.0408,0.37,0.01,ok
trace70.csv,912.63,1518,3048.8,328,17,-3.2083,-3.196,0.1878,0.0,ok
trace71.csv,2574.63,0,0.0,0,0,,,0.0,0.01,no periodicity found (not oscillating?)
trace72.csv,,0,0.0,0,0,,,0.0,0.0,no periodicity found (not oscillating?)
trace73.csv,,0,0.0,0,0,,,0.0,0.0,no periodicity found (not oscillating?)
trace74.csv,,0,0.0,0,0,,,0.0,0.01,no periodicity found (not oscillating?)
trace75.csv,,0,0.0,0,0,,,0.0,0.0,no periodicity found (not oscillating?)
trace76.csv,,0,0.0,0,0,,,0.0,0.01,no periodicity found (not oscillating?)
