sweep,filename,rpot_ohm,n_maxima,rpot_source,nominal_rpot_ohm,n_branches,n_slopes,unresolved_pct,cluster_pct,mean_T_us,median_T_us,mean_vs_median_pct,mean_ln_abs_fprime,lambda_map_per_s,lambda_map_err_per_s,lambda_map_err_stat,lambda_map_err_width,map_r2_within_branch,lambda_rosenstein_per_s,lambda_rosenstein_err_per_s,rosenstein_fit_r2,rosenstein_status,status
sweep back,trace1.csv,2.57,563,divider fit (R0=990 ohm),,0,0,,,355.2285,355.2,0.01,,,,,,,,,,not requested,map spread 0.017 V below --min-spread
sweep back,trace2.csv,29.61,562,divider fit (R0=990 ohm),,0,0,,,355.7262,355.99,-0.07,,,,,,,,,,not requested,map spread 0.030 V below --min-spread
sweep back,trace3.csv,58.16,561,divider fit (R0=990 ohm),,0,0,,,356.1564,356.005,0.04,,,,,,,,,,not requested,map spread 0.036 V below --min-spread
sweep back,trace5.csv,129.41,559,divider fit (R0=990 ohm),,0,0,,,357.3498,357.59,-0.07,,,,,,,,,,not requested,map spread 0.042 V below --min-spread
sweep back,trace6.csv,165.79,558,divider fit (R0=990 ohm),,0,0,,,358.0338,358.4,-0.1,,,,,,,,,,not requested,map spread 0.028 V below --min-spread
sweep back,trace8.csv,239.6,556,divider fit (R0=990 ohm),,0,0,,,359.3895,359.59,-0.06,,,,,,,,,,not requested,map spread 0.027 V below --min-spread
sweep back,trace9.csv,279.97,555,divider fit (R0=990 ohm),,0,0,,,360.252,360.0,0.07,,,,,,,,,,not requested,map spread 0.033 V below --min-spread
sweep back,trace11.csv,352.54,552,divider fit (R0=990 ohm),,0,0,,,361.9782,362.0,-0.01,,,,,,,,,,not requested,map spread 0.043 V below --min-spread
sweep back,trace12.csv,385.75,551,divider fit (R0=990 ohm),,0,0,,,362.9353,362.795,0.04,,,,,,,,,,not requested,map spread 0.018 V below --min-spread
sweep back,trace13.csv,416.62,549,divider fit (R0=990 ohm),,0,0,,,363.9621,364.0,-0.01,,,,,,,,,,not requested,map spread 0.017 V below --min-spread
sweep back,trace16.csv,514.54,544,divider fit (R0=990 ohm),,0,0,,,367.8342,368.0,-0.05,,,,,,,,,,not requested,map spread 0.037 V below --min-spread
sweep back,trace17.csv,538.64,542,divider fit (R0=990 ohm),,0,0,,,369.044,369.2,-0.04,,,,,,,,,,not requested,map spread 0.025 V below --min-spread
sweep back,trace18.csv,554.78,540,divider fit (R0=990 ohm),,0,0,,,369.8857,370.0,-0.03,,,,,,,,,,not requested,map spread 0.021 V below --min-spread
sweep back,trace19.csv,570.29,539,divider fit (R0=990 ohm),,0,0,,,370.8684,370.8,0.02,,,,,,,,,,not requested,map spread 0.018 V below --min-spread
sweep back,trace22.csv,627.57,532,divider fit (R0=990 ohm),,0,0,,,376.0211,376.0,0.01,,,,,,,,,,not requested,map spread 0.043 V below --min-spread
sweep back,trace23.csv,639.44,530,divider fit (R0=990 ohm),,0,0,,,377.4011,377.59,-0.05,,,,,,,,,,not requested,map spread 0.033 V below --min-spread
sweep back,trace24.csv,651.62,527,divider fit (R0=990 ohm),,0,0,,,379.1696,379.2,-0.01,,,,,,,,,,not requested,map spread 0.021 V below --min-spread
sweep back,trace25.csv,665.0,524,divider fit (R0=990 ohm),,0,0,,,381.6092,381.6,0.0,,,,,,,,,,not requested,map spread 0.033 V below --min-spread
sweep back,trace26.csv,678.97,519,divider fit (R0=990 ohm),,0,0,,,385.0911,385.2,-0.03,,,,,,,,,,not requested,map spread 0.042 V below --min-spread
sweep back,trace28.csv,693.42,558,divider fit (R0=990 ohm),,1,557,0.2,0.0,358.1537,347.6,2.95,0.51621,1441.3,88.92,68.0,57.08,0.9986,,,,not requested,ok
sweep back,trace29.csv,709.09,558,divider fit (R0=990 ohm),,1,557,0.0,0.0,357.9849,354.0,1.11,0.604,1687.21,68.87,68.36,7.48,0.9986,,,,not requested,ok
sweep back,trace30.csv,720.65,558,divider fit (R0=990 ohm),,1,557,0.4,0.0,358.754,359.19,-0.12,0.55913,1558.52,78.6,78.42,4.3,0.9988,,,,not requested,ok
sweep back,trace31.csv,731.6,561,divider fit (R0=990 ohm),,0,0,,100.0,356.3736,355.61,0.21,,,,,,,,,,not requested,"map is clusters, not a curve (no branch spans 0.10 V with 10 points)"
sweep back,trace32.csv,734.17,561,divider fit (R0=990 ohm),,0,0,,100.0,356.275,357.2,-0.26,,,,,,,,,,not requested,"map is clusters, not a curve (no branch spans 0.10 V with 10 points)"
sweep back,trace33.csv,734.17,561,divider fit (R0=990 ohm),,0,0,,100.0,356.275,357.2,-0.26,,,,,,,,,,not requested,"map is clusters, not a curve (no branch spans 0.10 V with 10 points)"
sweep back,trace34.csv,734.79,558,divider fit (R0=990 ohm),,1,557,0.0,0.0,358.2226,362.0,-1.05,0.45357,1266.16,110.68,103.6,38.91,0.9994,,,,not requested,ok
sweep back,trace35.csv,742.92,558,divider fit (R0=990 ohm),,1,557,0.5,0.0,357.8693,362.0,-1.15,0.37243,1040.68,102.28,102.26,1.82,0.9996,,,,not requested,ok
sweep back,trace36.csv,748.9,560,divider fit (R0=990 ohm),,1,559,0.5,0.0,357.5291,359.61,-0.58,0.3177,888.6,95.96,95.95,0.66,0.9997,,,,not requested,ok
sweep back,trace37.csv,751.71,560,divider fit (R0=990 ohm),,2,559,1.1,0.0,356.9717,361.2,-1.18,0.24093,674.91,97.55,97.41,5.31,0.9991,,,,not requested,ok
