filename,rpot_ohm,n_maxima,f0_hz,period_samples,sg_window,m_min,m_max,signal_range,clip_pct,status
trace1.csv,-2682.74,0,0.0,0,0,,,0.0,0.0,no periodicity found (not oscillating?)
trace2.csv,-2242.8,0,0.0,0,0,,,0.0,0.04,no periodicity found (not oscillating?)
trace3.csv,-2453.55,0,0.0,0,0,,,0.0,0.09,no periodicity found (not oscillating?)
trace4.csv,-3466.13,0,0.0,0,0,,,0.0,0.02,no periodicity found (not oscillating?)
trace5.csv,2616.32,0,0.0,0,0,,,0.0,0.0,no periodicity found (not oscillating?)
trace6.csv,781.76,0,0.0,0,0,,,0.0,0.09,no periodicity found (not oscillating?)
trace7.csv,839.69,0,0.0,0,0,,,0.0,0.0,no periodicity found (not oscillating?)
trace8.csv,864.98,0,0.0,0,0,,,0.0,0.0,no periodicity found (not oscillating?)
trace9.csv,881.4,610,3019.4,827,41,-3.4409,-3.2891,0.1615,0.01,ok
trace10.csv,885.11,607,3019.4,827,41,-3.2823,-3.2743,0.1825,0.0,ok
trace11.csv,888.59,604,3023.1,826,41,-3.2506,-3.2434,0.2179,0.02,ok
trace12.csv,891.05,605,3019.4,827,41,-3.2288,-3.2202,0.2438,0.0,ok
trace13.csv,895.46,605,3019.4,827,41,-3.1954,-3.1877,0.2837,0.06,ok
trace14.csv,896.32,604,3019.4,827,41,-3.1643,-3.1558,0.318,0.15,ok
trace15.csv,896.28,604,3019.4,827,41,-3.1383,-3.1301,0.3499,0.03,ok
trace16.csv,897.79,604,3019.4,827,41,-3.1171,-3.1094,0.3731,0.01,ok
trace17.csv,901.43,606,3015.8,828,41,-3.0866,-3.0791,0.4128,0.0,ok
trace18.csv,900.6,604,3015.8,828,41,-3.0467,-3.0389,0.4645,0.01,ok
trace19.csv,903.37,605,3012.2,829,41,-2.9995,-2.9925,0.5176,0.0,ok
trace20.csv,902.7,603,3012.2,829,41,-2.973,-2.9654,0.5493,0.02,ok
trace21.csv,900.53,603,3012.2,829,41,-2.9257,-2.9189,0.61,0.01,ok
trace22.csv,897.52,603,3008.5,830,41,-2.8751,-2.8656,0.6814,0.02,ok
trace23.csv,897.29,602,3008.5,830,41,-2.8435,-2.8341,0.7247,0.0,ok
trace24.csv,895.8,601,3004.9,831,41,-2.794,-2.7857,0.7922,0.0,ok
trace25.csv,893.0,601,3001.3,832,41,-2.7358,-2.7277,0.8719,0.0,ok
trace26.csv,889.78,601,2997.7,833,41,-2.6338,-2.6225,1.0281,0.07,ok
trace27.csv,887.49,599,2994.1,834,41,-2.57,-2.5618,1.1176,0.01,ok
trace28.csv,885.5,599,2990.5,835,41,-2.5101,-2.4987,1.2086,0.03,ok
trace29.csv,881.28,597,2983.4,837,41,-2.3714,-2.3582,1.4306,0.0,ok
trace30.csv,878.72,596,2976.3,839,41,-2.2915,-2.2662,1.5773,0.01,ok
trace31.csv,873.61,594,2969.2,841,43,-2.1786,-2.1442,1.7772,0.01,ok
trace32.csv,869.73,593,2965.6,842,43,-2.0867,-2.0471,1.9364,0.02,ok
trace33.csv,866.02,592,2958.6,844,43,-1.9758,-1.9282,2.1267,0.04,ok
trace34.csv,868.23,591,2951.6,846,43,-1.8485,-1.8016,2.3494,0.02,ok
trace35.csv,864.99,590,2944.7,848,43,-1.7572,-1.7058,2.5026,0.02,ok
trace36.csv,857.0,586,2927.4,853,43,-1.4303,-1.3313,3.169,0.1,ok
trace37.csv,853.32,583,2913.7,857,43,-1.205,-1.123,3.5588,0.01,ok
trace38.csv,851.17,580,2900.2,861,43,-0.9743,-0.9641,3.8464,0.35,ok
trace39.csv,844.4,578,2890.1,864,43,-0.9014,-0.8876,3.8764,0.27,ok
trace40.csv,839.17,578,2886.8,865,43,-0.8514,-0.8415,3.8723,0.11,ok
trace41.csv,829.9,576,2876.8,868,43,-0.7733,-0.7592,3.8513,0.02,ok
