sweep,filename,rpot_ohm,n_maxima,rpot_source,nominal_rpot_ohm,n_branches,n_slopes,unresolved_pct,cluster_pct,mean_T_us,median_T_us,mean_vs_median_pct,mean_ln_abs_fprime,lambda_map_per_s,lambda_map_err_per_s,lambda_map_err_stat,lambda_map_err_width,map_r2_within_branch,lambda_rosenstein_per_s,lambda_rosenstein_err_per_s,rosenstein_fit_r2,rosenstein_status,status
sweep forward,trace9.csv,879.62,605,divider fit (R0=990 ohm),,0,0,,,330.5563,330.79,-0.07,,,,,,,,,,not requested,map spread 0.007 V below --min-spread
sweep forward,trace10.csv,883.33,605,divider fit (R0=990 ohm),,0,0,,,330.7219,330.795,-0.02,,,,,,,,,,not requested,map spread 0.008 V below --min-spread
sweep forward,trace11.csv,886.8,604,divider fit (R0=990 ohm),,0,0,,,330.7622,330.8,-0.01,,,,,,,,,,not requested,map spread 0.007 V below --min-spread
sweep forward,trace12.csv,889.26,605,divider fit (R0=990 ohm),,0,0,,,330.8285,330.8,0.01,,,,,,,,,,not requested,map spread 0.009 V below --min-spread
sweep forward,trace13.csv,893.66,605,divider fit (R0=990 ohm),,0,0,,,330.804,331.19,-0.12,,,,,,,,,,not requested,map spread 0.008 V below --min-spread
sweep forward,trace14.csv,894.51,604,divider fit (R0=990 ohm),,0,0,,,330.865,330.79,0.02,,,,,,,,,,not requested,map spread 0.008 V below --min-spread
sweep forward,trace15.csv,894.47,604,divider fit (R0=990 ohm),,0,0,,,330.9479,331.19,-0.07,,,,,,,,,,not requested,map spread 0.008 V below --min-spread
sweep forward,trace16.csv,895.98,604,divider fit (R0=990 ohm),,0,0,,,331.0229,330.8,0.07,,,,,,,,,,not requested,map spread 0.008 V below --min-spread
sweep forward,trace17.csv,899.61,604,divider fit (R0=990 ohm),,0,0,,,331.2073,331.59,-0.12,,,,,,,,,,not requested,map spread 0.007 V below --min-spread
sweep forward,trace18.csv,898.78,603,divider fit (R0=990 ohm),,0,0,,,331.4179,331.2,0.07,,,,,,,,,,not requested,map spread 0.008 V below --min-spread
sweep forward,trace19.csv,901.55,604,divider fit (R0=990 ohm),,0,0,,,331.5556,331.59,-0.01,,,,,,,,,,not requested,map spread 0.007 V below --min-spread
sweep forward,trace20.csv,900.88,603,divider fit (R0=990 ohm),,0,0,,,331.592,331.61,-0.01,,,,,,,,,,not requested,map spread 0.008 V below --min-spread
sweep forward,trace21.csv,898.71,603,divider fit (R0=990 ohm),,0,0,,,331.8365,332.0,-0.05,,,,,,,,,,not requested,map spread 0.007 V below --min-spread
sweep forward,trace22.csv,895.71,603,divider fit (R0=990 ohm),,0,0,,,332.0452,332.0,0.01,,,,,,,,,,not requested,map spread 0.010 V below --min-spread
sweep forward,trace23.csv,895.48,602,divider fit (R0=990 ohm),,0,0,,,332.197,332.4,-0.06,,,,,,,,,,not requested,map spread 0.009 V below --min-spread
sweep forward,trace24.csv,893.99,601,divider fit (R0=990 ohm),,0,0,,,332.4647,332.41,0.02,,,,,,,,,,not requested,map spread 0.008 V below --min-spread
sweep forward,trace25.csv,891.2,601,divider fit (R0=990 ohm),,0,0,,,332.8046,332.8,0.0,,,,,,,,,,not requested,map spread 0.008 V below --min-spread
sweep forward,trace26.csv,887.98,600,divider fit (R0=990 ohm),,0,0,,,333.3536,333.2,0.05,,,,,,,,,,not requested,map spread 0.011 V below --min-spread
sweep forward,trace27.csv,885.7,599,divider fit (R0=990 ohm),,0,0,,,333.7057,333.61,0.03,,,,,,,,,,not requested,map spread 0.008 V below --min-spread
sweep forward,trace28.csv,883.71,599,divider fit (R0=990 ohm),,0,0,,,334.0582,334.0,0.02,,,,,,,,,,not requested,map spread 0.011 V below --min-spread
sweep forward,trace29.csv,879.5,597,divider fit (R0=990 ohm),,0,0,,,334.9644,334.81,0.05,,,,,,,,,,not requested,map spread 0.013 V below --min-spread
sweep forward,trace30.csv,876.94,596,divider fit (R0=990 ohm),,0,0,,,335.5778,335.6,-0.01,,,,,,,,,,not requested,map spread 0.025 V below --min-spread
sweep forward,trace31.csv,871.85,594,divider fit (R0=990 ohm),,0,0,,,336.4074,336.4,0.0,,,,,,,,,,not requested,map spread 0.034 V below --min-spread
sweep forward,trace32.csv,867.98,593,divider fit (R0=990 ohm),,0,0,,,337.0169,336.81,0.06,,,,,,,,,,not requested,map spread 0.040 V below --min-spread
sweep forward,trace33.csv,864.28,592,divider fit (R0=990 ohm),,0,0,,,337.6575,337.6,0.02,,,,,,,,,,not requested,map spread 0.048 V below --min-spread
sweep forward,trace34.csv,866.48,591,divider fit (R0=990 ohm),,0,0,,,338.5105,338.4,0.03,,,,,,,,,,not requested,map spread 0.047 V below --min-spread
sweep forward,trace35.csv,863.25,590,divider fit (R0=990 ohm),,0,0,,,339.1002,339.2,-0.03,,,,,,,,,,not requested,map spread 0.051 V below --min-spread
sweep forward,trace36.csv,855.28,586,divider fit (R0=990 ohm),,0,0,,,341.5262,341.6,-0.02,,,,,,,,,,not requested,map spread 0.099 V below --min-spread
