sweep,filename,rpot_ohm,rpot_residual_pct,max_v
set 4,trace14.csv,870.5,4.532,-3.208324
set 4,trace14.csv,870.5,4.532,-3.210427
set 4,trace14.csv,870.5,4.532,-3.210377
set 4,trace14.csv,870.5,4.532,-3.210525
set 4,trace14.csv,870.5,4.532,-3.212881
set 4,trace14.csv,870.5,4.532,-3.212738
set 4,trace14.csv,870.5,4.532,-3.212345
set 4,trace14.csv,870.5,4.532,-3.211395
set 4,trace14.csv,870.5,4.532,-3.211226
set 4,trace14.csv,870.5,4.532,-3.209245
set 4,trace14.csv,870.5,4.532,-3.211137
set 4,trace14.csv,870.5,4.532,-3.210657
set 4,trace14.csv,870.5,4.532,-3.210532
set 4,trace14.csv,870.5,4.532,-3.209679
set 4,trace14.csv,870.5,4.532,-3.209998
set 4,trace14.csv,870.5,4.532,-3.212399
set 4,trace14.csv,870.5,4.532,-3.210573
set 4,trace14.csv,870.5,4.532,-3.212195
set 4,trace14.csv,870.5,4.532,-3.214154
set 4,trace14.csv,870.5,4.532,-3.212165
set 4,trace14.csv,870.5,4.532,-3.211238
set 4,trace14.csv,870.5,4.532,-3.211907
set 4,trace14.csv,870.5,4.532,-3.211589
set 4,trace14.csv,870.5,4.532,-3.211516
set 4,trace14.csv,870.5,4.532,-3.21077
set 4,trace14.csv,870.5,4.532,-3.21036
set 4,trace14.csv,870.5,4.532,-3.21257
set 4,trace14.csv,870.5,4.532,-3.210147
set 4,trace14.csv,870.5,4.532,-3.212897
set 4,trace14.csv,870.5,4.532,-3.212582
set 4,trace14.csv,870.5,4.532,-3.211805
set 4,trace14.csv,870.5,4.532,-3.209806
set 4,trace14.csv,870.5,4.532,-3.211754
set 4,trace14.csv,870.5,4.532,-3.211905
set 4,trace14.csv,870.5,4.532,-3.209137
set 4,trace14.csv,870.5,4.532,-3.212201
set 4,trace14.csv,870.5,4.532,-3.209163
set 4,trace14.csv,870.5,4.532,-3.208688
set 4,trace14.csv,870.5,4.532,-3.209489
set 4,trace14.csv,870.5,4.532,-3.212168
set 4,trace14.csv,870.5,4.532,-3.210944
set 4,trace14.csv,870.5,4.532,-3.211281
set 4,trace14.csv,870.5,4.532,-3.211595
set 4,trace14.csv,870.5,4.532,-3.211945
set 4,trace14.csv,870.5,4.532,-3.210708
set 4,trace14.csv,870.5,4.532,-3.211937
set 4,trace14.csv,870.5,4.532,-3.211894
set 4,trace14.csv,870.5,4.532,-3.211276
set 4,trace14.csv,870.5,4.532,-3.212845
set 4,trace14.csv,870.5,4.532,-3.211213
set 4,trace14.csv,870.5,4.532,-3.20929
set 4,trace14.csv,870.5,4.532,-3.208679
set 4,trace14.csv,870.5,4.532,-3.211295
set 4,trace14.csv,870.5,4.532,-3.211947
set 4,trace14.csv,870.5,4.532,-3.210558
set 4,trace14.csv,870.5,4.532,-3.209112
set 4,trace14.csv,870.5,4.532,-3.21156
set 4,trace14.csv,870.5,4.532,-3.210494
set 4,trace14.csv,870.5,4.532,-3.207313
set 4,trace14.csv,870.5,4.532,-3.207365
set 4,trace14.csv,870.5,4.532,-3.211198
set 4,trace14.csv,870.5,4.532,-3.209609
set 4,trace14.csv,870.5,4.532,-3.21067
set 4,trace14.csv,870.5,4.532,-3.208453
set 4,trace14.csv,870.5,4.532,-3.207514
set 4,trace14.csv,870.5,4.532,-3.20879
set 4,trace14.csv,870.5,4.532,-3.211711
set 4,trace14.csv,870.5,4.532,-3.209795
set 4,trace14.csv,870.5,4.532,-3.206196
set 4,trace14.csv,870.5,4.532,-3.206853
set 4,trace14.csv,870.5,4.532,-3.208014
set 4,trace14.csv,870.5,4.532,-3.206617
set 4,trace14.csv,870.5,4.532,-3.209827
set 4,trace14.csv,870.5,4.532,-3.210087
set 4,trace14.csv,870.5,4.532,-3.208292
set 4,trace14.csv,870.5,4.532,-3.20914
set 4,trace14.csv,870.5,4.532,-3.20863
set 4,trace14.csv,870.5,4.532,-3.206517
set 4,trace14.csv,870.5,4.532,-3.207192
set 4,trace14.csv,870.5,4.532,-3.207285
set 4,trace14.csv,870.5,4.532,-3.209199
set 4,trace14.csv,870.5,4.532,-3.210651
set 4,trace14.csv,870.5,4.532,-3.210115
set 4,trace14.csv,870.5,4.532,-3.210368
set 4,trace14.csv,870.5,4.532,-3.209589
set 4,trace14.csv,870.5,4.532,-3.20803
set 4,trace14.csv,870.5,4.532,-3.210867
set 4,trace14.csv,870.5,4.532,-3.210665
