filename,rpot_ohm,n_maxima,f0_hz,period_samples,sg_window,m_min,m_max,signal_range,clip_pct,status
trace1.csv,-2094.64,0,0.0,0,0,,,0.0,0.01,no periodicity found (not oscillating?)
trace2.csv,-20304.42,0,0.0,0,0,,,0.0,0.13,no periodicity found (not oscillating?)
trace3.csv,-7377.73,0,0.0,0,0,,,0.0,0.03,no periodicity found (not oscillating?)
trace4.csv,44848.45,0,0.0,0,0,,,0.0,0.02,no periodicity found (not oscillating?)
trace5.csv,20019.88,0,0.0,0,0,,,0.0,0.01,no periodicity found (not oscillating?)
trace6.csv,30004.14,0,0.0,0,0,,,0.0,0.0,no periodicity found (not oscillating?)
trace7.csv,96074.22,0,0.0,0,0,,,0.0,0.45,no periodicity found (not oscillating?)
trace8.csv,39147.74,0,0.0,0,0,,,0.0,0.97,no periodicity found (not oscillating?)
trace9.csv,4626.29,0,0.0,0,0,,,0.0,0.01,no periodicity found (not oscillating?)
trace10.csv,5857.53,0,0.0,0,0,,,0.0,0.02,no periodicity found (not oscillating?)
trace11.csv,1765.78,0,0.0,0,0,,,0.0,0.03,no periodicity found (not oscillating?)
trace12.csv,777.69,0,0.0,0,0,,,0.0,0.04,no periodicity found (not oscillating?)
trace13.csv,837.62,0,0.0,0,0,,,0.0,0.03,no periodicity found (not oscillating?)
trace14.csv,870.5,609,3048.9,819,41,-3.2142,-3.2039,0.1915,0.01,ok
trace15.csv,881.24,609,3041.5,821,41,-3.1805,-3.1713,0.2307,0.0,ok
trace16.csv,887.71,608,3048.9,819,41,-3.1213,-3.1126,0.3002,0.56,ok
trace17.csv,891.03,608,3037.8,822,41,-3.0704,-3.0586,0.3666,0.24,ok
trace18.csv,891.18,608,3048.9,819,41,-3.0276,-3.0175,0.4181,0.09,ok
trace19.csv,886.75,607,3037.8,822,41,-2.9696,-2.9597,0.4917,0.04,ok
trace20.csv,886.16,607,3034.1,823,41,-2.9008,-2.8916,0.582,0.29,ok
trace21.csv,885.56,607,3034.1,823,41,-2.8786,-2.8688,0.6136,0.62,ok
trace22.csv,886.8,606,3041.5,821,41,-2.8494,-2.8397,0.654,0.03,ok
trace23.csv,886.28,605,3037.8,822,41,-2.8019,-2.7914,0.7219,0.03,ok
trace24.csv,889.84,605,3023.1,826,41,-2.7625,-2.7505,0.7829,0.01,ok
trace25.csv,886.37,605,3026.8,825,41,-2.6807,-2.6699,0.9002,0.0,ok
trace26.csv,884.81,604,3026.8,825,41,-2.6084,-2.6001,1.0004,0.19,ok
trace27.csv,882.19,603,3015.8,828,41,-2.5709,-2.5598,1.0645,0.07,ok
trace28.csv,879.88,603,3008.5,830,41,-2.5224,-2.512,1.1379,0.0,ok
trace29.csv,877.59,602,3023.1,826,41,-2.4552,-2.4422,1.244,0.1,ok
trace30.csv,875.85,601,3012.2,829,41,-2.4183,-2.4073,1.297,0.0,ok
trace31.csv,873.7,601,3008.5,830,41,-2.3634,-2.3498,1.3846,0.06,ok
trace32.csv,872.39,600,3008.5,830,41,-2.3204,-2.3015,1.4618,0.05,ok
trace33.csv,870.74,600,3001.3,832,41,-2.2732,-2.2563,1.5335,0.0,ok
trace34.csv,868.34,599,3012.2,829,41,-2.1945,-2.1688,1.6754,0.14,ok
trace35.csv,867.4,598,2994.1,834,41,-2.1408,-2.1123,1.7665,0.04,ok
trace36.csv,863.69,597,2986.9,836,41,-2.0409,-2.018,1.9189,0.02,ok
trace37.csv,867.49,596,2979.8,838,41,-1.976,-1.9209,2.0888,0.0,ok
