filename,rpot_ohm,n_maxima,f0_hz,period_samples,sg_window,m_min,m_max,signal_range,clip_pct,status
trace1.csv,2.37,1412,2890.2,346,17,6.5271,6.5769,13.9265,1.77,ok
trace2.csv,26.44,1411,2890.2,346,17,6.52,6.5687,13.9199,0.09,ok
trace3.csv,47.37,1411,2873.6,348,17,6.5093,6.5632,13.9145,1.43,ok
trace4.csv,87.44,1408,2832.9,353,17,6.4994,6.5572,13.8901,0.77,ok
trace5.csv,131.77,1404,2816.9,355,17,6.4761,6.5523,13.8693,0.38,ok
trace6.csv,175.26,1401,2801.1,357,17,6.4616,6.5369,13.8411,0.14,ok
trace7.csv,220.83,1398,2809.0,356,17,6.452,6.5243,13.8211,1.16,ok
trace8.csv,266.4,1393,2840.9,352,17,6.4501,6.4967,13.7843,0.38,ok
trace9.csv,309.57,1390,2898.6,345,17,6.4405,6.4748,13.7562,0.07,ok
trace10.csv,331.18,1387,2881.8,347,17,6.4351,6.4761,13.7589,0.03,ok
trace11.csv,351.8,1385,2840.9,352,17,6.4301,6.4688,13.7482,0.01,ok
trace12.csv,375.83,1382,2801.1,357,17,6.4238,6.4701,13.7452,2.49,suspected clipping / rail plateaus
trace13.csv,410.85,1378,2770.1,361,19,6.4,6.4615,13.7183,1.08,ok
trace14.csv,446.87,1373,2747.3,364,19,6.3734,6.4551,13.6848,2.44,suspected clipping / rail plateaus
trace15.csv,464.07,1370,2747.3,364,19,6.3706,6.4465,13.6708,1.66,ok
trace16.csv,485.84,1367,2747.3,364,19,6.3632,6.4232,13.6356,0.87,ok
trace17.csv,506.83,1363,2747.3,364,19,6.3632,6.4186,13.6262,0.46,ok
trace18.csv,528.96,1359,2770.1,361,19,6.3494,6.4023,13.5951,0.13,ok
trace19.csv,552.21,1353,2747.3,364,19,6.329,6.3905,13.5716,0.0,ok
trace20.csv,577.01,538,2702.7,925,47,6.3189,6.3637,13.5027,0.0,ok
trace21.csv,596.16,536,2682.4,932,47,6.296,6.3487,13.4693,0.18,ok
trace22.csv,610.6,534,2673.8,935,47,6.2845,6.3253,13.4316,0.87,ok
trace23.csv,625.94,531,2670.9,936,47,6.2752,6.3073,13.405,0.26,ok
trace24.csv,645.76,526,2659.6,940,47,6.2471,6.2878,13.3635,1.38,ok
trace25.csv,666.98,520,2604.2,960,49,6.1953,6.2426,13.2725,0.93,ok
trace26.csv,678.52,514,2596.1,963,49,6.1776,6.2126,13.2082,0.1,ok
trace27.csv,670.91,559,2860.4,874,43,-1.7237,0.3431,3.7972,0.0,ok
trace28.csv,676.86,559,2828.1,884,45,-1.6405,0.2691,3.7485,0.02,ok
trace29.csv,684.28,558,2809.0,890,45,-1.4983,0.2119,3.7661,0.02,ok
trace30.csv,691.78,559,2834.5,882,45,-1.3838,0.1499,3.7503,0.18,ok
trace31.csv,700.67,558,2805.8,891,45,-1.2738,0.076,3.7288,0.2,ok
trace32.csv,710.4,560,2824.9,885,45,-1.2061,-0.0052,3.729,0.0,ok
trace33.csv,713.92,562,2857.1,875,43,-1.1702,-0.0445,3.7081,0.41,ok
trace34.csv,716.63,558,2799.6,893,45,-1.151,-0.0884,3.6767,0.13,ok
trace35.csv,720.56,558,2793.3,895,45,-1.1244,-0.1024,3.7155,0.37,ok
trace36.csv,723.37,558,2787.1,897,45,-1.1017,-0.1254,3.7107,0.18,ok
trace37.csv,728.31,558,2796.4,894,45,-1.0729,-0.1488,3.7397,0.33,ok
trace38.csv,733.39,558,2802.7,892,45,-1.0666,-0.1628,3.7574,0.02,ok
trace39.csv,738.04,559,2793.3,895,45,-1.0416,-0.18,3.7974,0.0,ok
trace40.csv,740.99,560,2828.1,884,45,-0.9947,-0.1903,3.8109,0.42,ok
trace41.csv,742.43,560,2818.5,887,45,-0.9812,-0.2163,3.8035,0.24,ok
trace42.csv,750.14,561,2834.5,882,45,-0.908,-0.2671,3.8158,0.0,ok
trace43.csv,755.6,562,2818.5,887,45,-0.8514,-0.3209,3.7888,0.35,ok
trace44.csv,763.46,562,2844.1,879,43,-0.8101,-0.3518,3.83,0.01,ok
trace45.csv,769.55,562,2850.6,877,43,-0.7274,-0.429,3.8075,0.79,ok
trace46.csv,774.31,563,2857.1,875,43,-0.6442,-0.5174,3.7363,0.09,ok
trace47.csv,777.84,563,2821.7,886,45,-0.6239,-0.5803,3.6857,0.82,ok
trace48.csv,782.4,564,2853.9,876,43,-0.6291,-0.6007,3.7102,1.16,ok
trace49.csv,786.26,564,2883.5,867,43,-0.643,-0.6116,3.7539,0.04,ok
trace50.csv,789.4,566,2847.4,878,43,-0.6684,-0.6221,3.7806,1.08,ok
trace51.csv,794.99,567,2837.7,881,45,-0.7105,-0.6626,3.8041,0.97,ok
trace52.csv,801.28,568,2876.9,869,43,-0.7277,-0.6951,3.841,0.09,ok
trace53.csv,806.57,569,2853.9,876,43,-0.769,-0.7176,3.8926,0.0,ok
trace54.csv,819.51,571,2867.0,872,43,-0.8487,-0.7991,3.9431,0.62,ok
trace55.csv,828.16,573,2917.2,857,43,-0.9029,-0.8756,3.9627,0.78,ok
trace56.csv,842.63,576,2893.5,864,43,-1.0647,-1.0255,3.9448,0.93,ok
trace57.csv,854.51,586,2962.1,844,43,-1.9349,-1.8594,2.4328,0.37,ok
