sweep,filename,rpot_ohm,n_maxima,rpot_source,nominal_rpot_ohm,n_branches,n_slopes,unresolved_pct,cluster_pct,mean_T_us,median_T_us,mean_vs_median_pct,mean_ln_abs_fprime,lambda_map_per_s,lambda_map_err_per_s,lambda_map_err_stat,lambda_map_err_width,map_r2_within_branch,lambda_rosenstein_per_s,lambda_rosenstein_err_per_s,rosenstein_fit_r2,rosenstein_status,status
sweep back,trace1.csv,2.37,1412,divider fit (R0=990 ohm),,0,0,,,353.9986,354.0,-0.0,,,,,,,9.97,1.32,0.0978,ok,map spread 0.050 V below --min-spread
sweep back,trace2.csv,26.44,1411,divider fit (R0=990 ohm),,0,0,,,354.1887,354.0,0.05,,,,,,,0.91,1.07,0.0008,ok,map spread 0.049 V below --min-spread
sweep back,trace3.csv,47.37,1411,divider fit (R0=990 ohm),,0,0,,,354.4227,354.0,0.12,,,,,,,2.14,0.66,0.0045,ok,map spread 0.054 V below --min-spread
sweep back,trace4.csv,87.44,1408,divider fit (R0=990 ohm),,0,0,,,355.1521,355.0,0.04,,,,,,,4.99,1.03,0.0245,ok,map spread 0.058 V below --min-spread
sweep back,trace5.csv,131.77,1404,divider fit (R0=990 ohm),,0,0,,,355.9651,356.0,-0.01,,,,,,,1.48,0.8,0.0021,ok,map spread 0.076 V below --min-spread
sweep back,trace6.csv,175.26,1401,divider fit (R0=990 ohm),,0,0,,,356.8286,357.0,-0.05,,,,,,,6.15,1.09,0.0474,ok,map spread 0.075 V below --min-spread
sweep back,trace7.csv,220.83,1398,divider fit (R0=990 ohm),,0,0,,,357.7101,358.0,-0.08,,,,,,,-0.63,0.93,0.0006,ok,map spread 0.072 V below --min-spread
sweep back,trace8.csv,266.4,1393,divider fit (R0=990 ohm),,0,0,,,358.7816,359.0,-0.06,,,,,,,0.83,1.6,0.0012,ok,map spread 0.047 V below --min-spread
sweep back,trace9.csv,309.57,1390,divider fit (R0=990 ohm),,0,0,,,359.7588,360.0,-0.07,,,,,,,8.05,0.78,0.1142,ok,map spread 0.034 V below --min-spread
sweep back,trace10.csv,331.18,1387,divider fit (R0=990 ohm),,0,0,,,360.3261,360.0,0.09,,,,,,,-0.79,0.75,0.0013,ok,map spread 0.041 V below --min-spread
sweep back,trace11.csv,351.8,1385,divider fit (R0=990 ohm),,0,0,,,360.9357,361.0,-0.02,,,,,,,1.57,0.9,0.0055,ok,map spread 0.039 V below --min-spread
sweep back,trace13.csv,410.85,1378,divider fit (R0=990 ohm),,0,0,,,362.854,363.0,-0.04,,,,,,,9.16,1.15,0.1927,ok,map spread 0.061 V below --min-spread
sweep back,trace15.csv,464.07,1370,divider fit (R0=990 ohm),,0,0,,,364.8269,365.0,-0.05,,,,,,,2.62,0.14,0.0191,ok,map spread 0.076 V below --min-spread
sweep back,trace16.csv,485.84,1367,divider fit (R0=990 ohm),,0,0,,,365.7101,366.0,-0.08,,,,,,,7.4,1.4,0.1759,ok,map spread 0.060 V below --min-spread
