filename,rpot_ohm,n_maxima,f0_hz,period_samples,sg_window,m_min,m_max,signal_range,clip_pct,status
trace1.csv,2993.43,0,0.0,0,0,,,0.0,0.3,no periodicity found (not oscillating?)
trace2.csv,3933.77,0,0.0,0,0,,,0.0,0.09,no periodicity found (not oscillating?)
trace3.csv,2183.33,0,0.0,0,0,,,0.0,6.48,no periodicity found (not oscillating?)
trace4.csv,4423.03,0,0.0,0,0,,,0.0,0.5,no periodicity found (not oscillating?)
trace5.csv,5814.63,0,0.0,0,0,,,0.0,0.2,no periodicity found (not oscillating?)
trace6.csv,2564.1,0,0.0,0,0,,,0.0,0.08,no periodicity found (not oscillating?)
trace7.csv,489.04,0,0.0,0,0,,,0.0,5.26,no periodicity found (not oscillating?)
trace8.csv,552.84,0,0.0,0,0,,,0.0,0.94,no periodicity found (not oscillating?)
trace9.csv,681.83,0,0.0,0,0,,,0.0,3.34,no periodicity found (not oscillating?)
trace10.csv,790.25,606,3041.4,822,41,-3.2475,-3.2264,0.288,0.0,divider residual 8.4%
trace11.csv,801.55,606,3052.5,819,41,-3.2039,-3.1867,0.3319,1.39,divider residual 6.2%
trace12.csv,836.88,605,3048.8,820,41,-3.1415,-3.1182,0.4062,0.41,divider residual 6.3%
trace13.csv,857.77,604,3071.3,814,41,-3.0904,-3.0719,0.4658,0.05,divider residual 5.7%
trace14.csv,853.32,604,3075.0,813,41,-3.0424,-3.0251,0.5288,0.07,divider residual 5.6%
trace15.csv,858.04,603,3030.3,825,41,-2.9872,-2.9633,0.6088,1.22,ok
trace16.csv,860.91,603,3048.8,820,41,-2.9174,-2.8985,0.6992,0.01,ok
trace17.csv,861.07,603,3023.0,827,41,-2.8587,-2.834,0.7841,1.26,ok
trace18.csv,869.52,602,3015.7,829,41,-2.7677,-2.7416,0.9147,0.37,ok
trace19.csv,875.95,601,3015.7,829,41,-2.6854,-2.6626,1.0313,0.89,ok
trace20.csv,874.26,600,3030.3,825,41,-2.5683,-2.5508,1.1942,0.57,ok
trace21.csv,869.22,599,3008.4,831,41,-2.4697,-2.4512,1.3531,0.44,ok
trace22.csv,869.59,597,3004.8,832,41,-2.3891,-2.3712,1.4802,1.86,ok
trace23.csv,868.66,596,3023.0,827,41,-2.2642,-2.24,1.6757,0.13,ok
trace24.csv,864.51,595,2990.4,836,41,-2.1746,-2.1343,1.8556,0.35,ok
trace25.csv,862.57,594,3015.7,829,41,-2.0397,-2.0063,2.0627,0.44,ok
trace26.csv,858.87,592,2976.2,840,43,-1.9488,-1.8997,2.2372,0.14,ok
trace27.csv,856.26,590,2972.7,841,43,-1.7249,-1.6766,2.6321,0.11,ok
trace28.csv,851.97,588,2955.1,846,43,-1.5624,-1.5066,2.9306,0.03,ok
trace29.csv,849.95,585,2937.7,851,43,-1.3596,-1.2892,3.3179,0.02,ok
trace30.csv,848.29,584,2934.3,852,43,-1.1741,-1.0915,3.6819,0.36,ok
trace31.csv,845.94,582,2920.6,856,43,-1.0127,-0.9871,3.8587,0.02,ok
trace32.csv,841.84,581,2934.3,852,43,-0.9627,-0.9407,3.8807,0.02,ok
trace33.csv,837.99,580,2913.8,858,43,-0.9257,-0.8992,3.8863,0.13,ok
trace34.csv,832.44,578,2913.8,858,43,-0.8679,-0.8487,3.8865,0.15,ok
trace35.csv,828.42,578,2910.4,859,43,-0.836,-0.8129,3.8796,0.06,ok
trace36.csv,820.85,576,2893.5,864,43,-0.7768,-0.7588,3.8456,0.24,ok
trace37.csv,812.82,574,2873.6,870,43,-0.7275,-0.7,3.8141,0.92,ok
trace38.csv,804.09,573,2870.3,871,43,-0.6805,-0.653,3.7676,0.0,ok
trace39.csv,797.04,572,2860.4,874,43,-0.6435,-0.6178,3.7214,0.0,ok
trace40.csv,787.52,570,2853.9,876,43,-0.5954,-0.5698,3.6526,0.23,ok
trace41.csv,777.05,568,2840.9,880,45,-0.55,-0.5191,3.5955,0.0,ok
trace42.csv,773.64,568,2863.7,873,43,-0.5322,-0.5081,3.5636,0.02,ok
trace43.csv,771.5,568,2860.4,874,43,-0.5718,-0.4554,3.6056,0.05,ok
trace44.csv,770.33,567,2844.1,879,43,-0.6087,-0.4192,3.6418,0.5,ok
trace45.csv,769.2,567,2844.1,879,43,-0.6347,-0.4087,3.6471,0.35,ok
trace46.csv,767.96,567,2847.4,878,43,-0.6465,-0.3837,3.6652,0.13,ok
trace47.csv,766.53,567,2847.4,878,43,-0.6661,-0.3655,3.6752,0.13,ok
trace48.csv,764.6,567,2837.7,881,45,-0.6841,-0.3414,3.6893,0.0,ok
trace49.csv,763.15,567,2847.4,878,43,-0.6976,-0.3248,3.6866,0.13,ok
trace50.csv,761.32,567,2840.9,880,45,-0.7188,-0.3087,3.6934,0.07,ok
trace51.csv,758.96,566,2860.4,874,43,-0.7358,-0.2884,3.6973,0.03,ok
trace52.csv,756.37,566,2837.7,881,45,-0.753,-0.2705,3.6887,0.43,ok
trace53.csv,750.88,566,2847.4,878,43,-0.7786,-0.2406,3.6784,0.14,ok
trace54.csv,749.08,566,2834.5,882,45,-0.8154,-0.2134,3.6941,0.01,ok
trace55.csv,746.24,566,2824.9,885,45,-0.8576,-0.1852,3.695,0.24,ok
trace56.csv,744.75,566,2831.3,883,45,-0.8753,-0.171,3.696,0.02,ok
trace57.csv,742.98,566,2837.7,881,45,-0.8946,-0.1563,3.6949,0.02,ok
trace58.csv,742.08,566,2821.7,886,45,-0.9059,-0.1506,3.6913,0.25,ok
trace59.csv,740.83,565,2824.9,885,45,-0.9169,-0.1468,3.6843,0.11,ok
trace60.csv,740.08,565,2831.3,883,45,-0.9245,-0.1358,3.6892,0.14,ok
trace61.csv,738.86,565,2828.1,884,45,-0.944,-0.1247,3.698,0.0,ok
trace62.csv,737.8,564,2818.5,887,45,-0.948,-0.1203,3.6886,0.43,ok
trace63.csv,736.86,564,2821.7,886,45,-0.9553,-0.1108,3.6853,0.02,ok
trace64.csv,735.3,564,2818.5,887,45,-0.9663,-0.1078,3.6743,0.06,ok
trace65.csv,733.68,564,2809.0,890,45,-0.9762,-0.0988,3.6747,0.07,ok
trace66.csv,732.22,564,2821.7,886,45,-0.9839,-0.0931,3.6671,0.13,ok
trace67.csv,730.36,563,2815.3,888,45,-0.9911,-0.0843,3.6597,0.04,ok
trace68.csv,727.48,563,2805.8,891,45,-0.9994,-0.0785,3.6458,0.28,ok
trace69.csv,722.56,563,2809.0,890,45,-1.0274,-0.0662,3.6175,0.03,ok
trace70.csv,715.53,562,2809.0,890,45,-1.0614,-0.0281,3.5938,0.06,ok
trace71.csv,713.91,564,2809.0,890,45,-1.0727,-0.0128,3.5952,0.04,ok
trace72.csv,713.44,567,2857.1,875,43,-1.0873,0.0101,3.616,0.02,ok
trace73.csv,710.24,568,2860.4,874,43,-1.1118,0.0312,3.6091,0.29,ok
trace74.csv,708.42,567,2870.3,871,43,-1.1228,0.0482,3.6133,0.04,ok
trace75.csv,706.35,565,2821.7,886,45,-1.1358,0.0578,3.6052,0.39,ok
trace76.csv,704.52,564,2821.7,886,45,-1.1541,0.0754,3.6059,0.07,ok
trace77.csv,700.95,564,2840.9,880,45,-1.1891,0.1083,3.6157,0.36,ok
trace78.csv,695.97,563,2834.5,882,45,-1.2468,0.1489,3.6206,0.01,ok
trace79.csv,690.03,564,2840.9,880,45,-1.3329,0.2155,3.643,0.0,ok
trace80.csv,680.24,565,2847.4,878,43,-1.4899,0.315,3.6622,0.01,ok
trace81.csv,674.29,567,2870.3,871,43,-1.6145,0.3768,3.6786,0.03,ok
trace82.csv,671.04,566,2860.4,874,43,-1.6812,0.4084,3.694,0.11,ok
trace83.csv,668.74,566,2997.6,834,41,-1.6841,0.4401,3.7066,0.04,ok
trace84.csv,668.17,565,2880.2,868,43,-1.679,0.4366,3.6935,0.0,ok
trace85.csv,667.06,564,2873.6,870,43,-1.6718,0.4478,3.7008,0.0,ok
trace86.csv,664.54,557,2870.3,871,43,-1.6607,0.4863,3.717,0.06,ok
trace87.csv,664.28,556,2850.6,877,43,-1.6484,0.4842,3.7088,0.03,ok
trace88.csv,660.48,1379,2873.6,348,17,-1.6517,2.6042,5.8338,0.01,ok
trace89.csv,660.56,1379,2840.9,352,17,-1.6494,2.6197,5.8413,0.01,ok
trace90.csv,659.94,1374,2857.1,350,17,-1.6485,2.6141,5.8203,0.04,ok
trace91.csv,658.56,1365,2865.3,349,17,-1.6381,2.613,5.8034,0.01,ok
trace92.csv,656.6,1369,2873.6,348,17,-1.6228,2.606,5.7863,0.07,ok
trace93.csv,653.77,1340,2873.6,348,17,-1.6142,2.5821,5.7358,0.03,ok
trace94.csv,650.58,1320,2849.0,351,17,-1.608,2.5646,5.7007,0.0,ok
trace95.csv,642.54,1273,2865.3,349,17,-1.5619,2.5184,5.5933,0.11,ok
trace96.csv,632.28,1275,2924.0,342,17,-1.5594,2.4482,5.4494,0.01,ok
trace97.csv,616.48,1278,2967.4,337,17,-1.5952,2.3546,5.2563,0.04,ok
trace98.csv,600.88,1284,2976.2,336,17,-1.6176,2.2646,5.0615,0.0,ok
trace99.csv,584.2,1302,3030.3,330,17,-1.62,2.1674,4.8647,0.09,ok
trace100.csv,568.04,1312,3058.1,327,17,-1.5716,2.0859,4.6675,0.12,ok
trace101.csv,546.49,1284,3003.0,333,17,-1.4835,1.9676,4.422,0.01,ok
trace102.csv,523.41,1297,3030.3,330,17,-1.3909,1.8539,4.1913,0.06,ok
trace103.csv,500.03,1281,2976.2,336,17,-1.3041,1.7411,3.9495,0.06,ok
trace104.csv,470.81,1264,2941.2,340,17,-1.2173,1.6151,3.6816,0.02,ok
trace105.csv,442.04,1171,2439.0,410,21,-1.131,1.485,3.4078,0.01,ok
trace106.csv,425.7,1176,2597.4,385,19,-1.0892,1.424,3.2662,0.11,ok
trace107.csv,413.6,1075,2207.5,453,23,-1.0596,1.3561,3.1475,0.02,ok
trace108.csv,392.42,996,2074.7,482,25,-0.9811,1.2792,2.9741,0.08,ok
trace109.csv,371.18,795,1700.7,588,29,-0.8258,1.1835,2.7841,0.26,ok
trace110.csv,353.44,816,1763.7,567,29,-0.6491,1.1037,2.6297,0.09,ok
trace111.csv,332.5,666,1464.1,683,35,-0.1357,0.9975,2.4122,0.04,ok
trace112.csv,309.32,731,1468.4,681,35,0.1759,0.2184,1.5192,0.01,ok
trace113.csv,303.71,695,1394.7,717,35,0.3075,0.3453,1.6217,0.03,ok
trace114.csv,309.93,1402,2801.1,357,17,4.8013,4.8117,11.1027,31.11,suspected clipping / rail plateaus
trace115.csv,251.29,1407,2816.9,355,17,4.8016,4.8125,11.1044,31.49,suspected clipping / rail plateaus
trace116.csv,213.46,1409,2816.9,355,17,4.8023,4.8125,11.1036,31.69,suspected clipping / rail plateaus
trace117.csv,174.38,1412,2824.9,354,17,4.8023,4.8125,11.1036,31.85,suspected clipping / rail plateaus
trace118.csv,145.38,1414,2824.9,354,17,4.8023,4.8141,11.106,31.96,suspected clipping / rail plateaus
trace119.csv,110.65,1416,2832.9,353,17,4.8018,4.8125,11.1036,32.09,suspected clipping / rail plateaus
