sweep,filename,rpot_ohm,n_maxima,rpot_source,nominal_rpot_ohm,n_branches,n_slopes,unresolved_pct,cluster_pct,mean_T_us,median_T_us,mean_vs_median_pct,mean_ln_abs_fprime,lambda_map_per_s,lambda_map_err_per_s,lambda_map_err_stat,lambda_map_err_width,map_r2_within_branch,lambda_rosenstein_per_s,lambda_rosenstein_err_per_s,rosenstein_fit_r2,rosenstein_status,status
sweep forward,trace15.csv,858.04,603,divider fit (R0=990 ohm),,0,0,,,331.1442,331.2,-0.02,,,,,,,-1.68,2.19,0.0055,ok,map spread 0.024 V below --min-spread
sweep forward,trace16.csv,860.91,603,divider fit (R0=990 ohm),,0,0,,,331.4326,331.6,-0.05,,,,,,,-1.62,1.53,0.0049,ok,map spread 0.019 V below --min-spread
sweep forward,trace17.csv,861.07,603,divider fit (R0=990 ohm),,0,0,,,331.786,332.0,-0.06,,,,,,,0.85,1.87,0.0016,ok,map spread 0.025 V below --min-spread
sweep forward,trace18.csv,869.52,602,divider fit (R0=990 ohm),,0,0,,,332.2988,332.4,-0.03,,,,,,,1.84,1.03,0.0125,ok,map spread 0.026 V below --min-spread
sweep forward,trace19.csv,875.95,601,divider fit (R0=990 ohm),,0,0,,,332.7407,333.2,-0.14,,,,,,,2.03,1.29,0.0164,ok,map spread 0.023 V below --min-spread
sweep forward,trace20.csv,874.26,600,divider fit (R0=990 ohm),,0,0,,,333.4431,333.6,-0.05,,,,,,,-0.11,1.41,0.0,ok,map spread 0.018 V below --min-spread
sweep forward,trace21.csv,869.22,599,divider fit (R0=990 ohm),,0,0,,,334.0957,333.61,0.15,,,,,,,1.48,1.46,0.0069,ok,map spread 0.018 V below --min-spread
sweep forward,trace22.csv,869.59,597,divider fit (R0=990 ohm),,0,0,,,334.6664,334.8,-0.04,,,,,,,3.11,1.02,0.0316,ok,map spread 0.018 V below --min-spread
sweep forward,trace23.csv,868.66,596,divider fit (R0=990 ohm),,0,0,,,335.4776,335.59,-0.03,,,,,,,1.74,0.96,0.0113,ok,map spread 0.024 V below --min-spread
sweep forward,trace24.csv,864.51,595,divider fit (R0=990 ohm),,0,0,,,336.1562,336.4,-0.07,,,,,,,0.15,0.99,0.0001,ok,map spread 0.040 V below --min-spread
sweep forward,trace25.csv,862.57,594,divider fit (R0=990 ohm),,0,0,,,336.9241,336.8,0.04,,,,,,,5.28,2.33,0.0667,ok,map spread 0.033 V below --min-spread
sweep forward,trace26.csv,858.87,592,divider fit (R0=990 ohm),,0,0,,,337.6521,337.6,0.02,,,,,,,0.75,1.15,0.0009,ok,map spread 0.049 V below --min-spread
sweep forward,trace27.csv,856.26,590,divider fit (R0=990 ohm),,0,0,,,339.1307,339.2,-0.02,,,,,,,8.54,1.81,0.1696,ok,map spread 0.048 V below --min-spread
sweep forward,trace28.csv,851.97,588,divider fit (R0=990 ohm),,0,0,,,340.154,340.39,-0.07,,,,,,,10.94,2.44,0.2633,ok,map spread 0.056 V below --min-spread
sweep forward,trace29.csv,849.95,585,divider fit (R0=990 ohm),,0,0,,,341.5356,341.6,-0.02,,,,,,,13.0,3.87,0.2426,ok,map spread 0.070 V below --min-spread
sweep forward,trace30.csv,848.29,584,divider fit (R0=990 ohm),,0,0,,,342.7472,342.79,-0.01,,,,,,,14.52,3.97,0.3153,ok,map spread 0.083 V below --min-spread
sweep forward,trace31.csv,845.94,582,divider fit (R0=990 ohm),,0,0,,,343.662,343.6,0.02,,,,,,,-0.67,0.99,0.0011,ok,map spread 0.026 V below --min-spread
sweep forward,trace32.csv,841.84,581,divider fit (R0=990 ohm),,0,0,,,344.3614,344.4,-0.01,,,,,,,-4.01,0.8,0.0726,ok,map spread 0.022 V below --min-spread
sweep forward,trace33.csv,837.99,580,divider fit (R0=990 ohm),,0,0,,,344.8946,344.81,0.02,,,,,,,-2.9,0.44,0.0248,ok,map spread 0.026 V below --min-spread
sweep forward,trace34.csv,832.44,578,divider fit (R0=990 ohm),,0,0,,,345.6409,345.6,0.01,,,,,,,0.07,1.21,0.0,ok,map spread 0.019 V below --min-spread
sweep forward,trace35.csv,828.42,578,divider fit (R0=990 ohm),,0,0,,,346.1414,346.39,-0.07,,,,,,,0.55,1.7,0.0014,ok,map spread 0.023 V below --min-spread
sweep forward,trace36.csv,820.85,576,divider fit (R0=990 ohm),,0,0,,,347.072,346.81,0.08,,,,,,,-3.51,1.27,0.0428,ok,map spread 0.018 V below --min-spread
sweep forward,trace37.csv,812.82,574,divider fit (R0=990 ohm),,0,0,,,348.0495,348.0,0.01,,,,,,,-2.02,1.57,0.01,ok,map spread 0.028 V below --min-spread
sweep forward,trace38.csv,804.09,573,divider fit (R0=990 ohm),,0,0,,,349.0042,348.81,0.06,,,,,,,1.2,1.08,0.0058,ok,map spread 0.028 V below --min-spread
sweep forward,trace39.csv,797.04,572,divider fit (R0=990 ohm),,0,0,,,349.8298,349.99,-0.05,,,,,,,-0.76,0.65,0.0031,ok,map spread 0.026 V below --min-spread
sweep forward,trace40.csv,787.52,570,divider fit (R0=990 ohm),,0,0,,,350.904,350.8,0.03,,,,,,,-8.14,1.52,0.1842,ok,map spread 0.026 V below --min-spread
sweep forward,trace41.csv,777.05,568,divider fit (R0=990 ohm),,0,0,,,352.0691,352.0,0.02,,,,,,,-28.02,1.87,0.5022,ok,map spread 0.031 V below --min-spread
sweep forward,trace42.csv,773.64,568,divider fit (R0=990 ohm),,0,0,,,352.4007,352.4,0.0,,,,,,,-84.94,7.37,0.5797,ok,map spread 0.024 V below --min-spread
sweep forward,trace43.csv,771.5,568,divider fit (R0=990 ohm),,0,0,,,352.4945,352.4,0.03,,,,,,,-103.66,11.85,0.5813,ok,map spans only 3 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace44.csv,770.33,567,divider fit (R0=990 ohm),,0,0,,,352.5244,352.4,0.04,,,,,,,-61.79,3.55,0.5561,ok,map spans only 4 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace45.csv,769.2,567,divider fit (R0=990 ohm),,0,0,,,352.5463,352.4,0.04,,,,,,,-35.17,4.01,0.5019,ok,map spans only 5 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace46.csv,767.96,567,divider fit (R0=990 ohm),,0,0,,,352.5625,352.8,-0.07,,,,,,,-15.79,1.39,0.2624,ok,map spans only 6 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace47.csv,766.53,567,divider fit (R0=990 ohm),,0,0,,,352.5936,352.8,-0.06,,,,,,,-13.0,1.05,0.2474,ok,map spans only 7 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace48.csv,764.6,567,divider fit (R0=990 ohm),,0,0,,,352.6396,352.4,0.07,,,,,,,-19.16,2.4,0.4688,ok,map spans only 8 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace49.csv,763.15,567,divider fit (R0=990 ohm),,0,0,,,352.742,353.0,-0.07,,,,,,,-6.3,1.48,0.1272,ok,map spans only 9 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace50.csv,761.32,567,divider fit (R0=990 ohm),,0,0,,,352.7965,353.195,-0.11,,,,,,,0.03,0.84,0.0,ok,map spans only 9 quantisation steps of 43 mV (under --min-steps)
