Time(s),CH1(V),CH2(V)
-8.456250e-02,1.067739e+01,9.776885e+00
-8.455970e-02,1.080603e+01,9.776885e+00
-8.455690e-02,1.067739e+01,9.776885e+00
-8.455410e-02,1.067739e+01,9.776885e+00
-8.455130e-02,1.067739e+01,9.776885e+00
-8.454850e-02,1.067739e+01,9.776885e+00
-8.454570e-02,1.067739e+01,9.905528e+00
-8.454290e-02,1.067739e+01,9.776885e+00
-8.454010e-02,1.067739e+01,9.776885e+00
-8.453730e-02,1.067739e+01,9.776885e+00
-8.453450e-02,1.067739e+01,9.776885e+00
-8.453170e-02,1.067739e+01,9.776885e+00
-8.452890e-02,1.067739e+01,9.776885e+00
-8.452610e-02,1.067739e+01,9.776885e+00
-8.452330e-02,1.067739e+01,9.776885e+00
-8.452050e-02,1.067739e+01,9.905528e+00
-8.451770e-02,1.067739e+01,9.776885e+00
-8.451490e-02,1.067739e+01,9.776885e+00
-8.451210e-02,1.067739e+01,9.776885e+00
-8.450930e-02,1.067739e+01,9.776885e+00
-8.450650e-02,1.067739e+01,9.776885e+00
-8.450370e-02,1.067739e+01,9.776885e+00
-8.450090e-02,1.067739e+01,9.776885e+00
-8.449810e-02,1.080603e+01,9.776885e+00
-8.449530e-02,1.067739e+01,9.776885e+00
-8.449250e-02,1.080603e+01,9.776885e+00
-8.448970e-02,1.067739e+01,9.776885e+00
-8.448690e-02,1.067739e+01,9.776885e+00
-8.448410e-02,1.067739e+01,9.776885e+00
-8.448130e-02,1.067739e+01,9.776885e+00
-8.447850e-02,1.080603e+01,9.776885e+00
-8.447570e-02,1.067739e+01,9.776885e+00
-8.447290e-02,1.067739e+01,9.776885e+00
-8.447010e-02,1.067739e+01,9.776885e+00
-8.446730e-02,1.067739e+01,9.905528e+00
-8.446450e-02,1.067739e+01,9.776885e+00
-8.446170e-02,1.067739e+01,9.776885e+00
-8.445890e-02,1.080603e+01,9.776885e+00
-8.445610e-02,1.080603e+01,9.776885e+00
-8.445330e-02,1.067739e+01,9.905528e+00
-8.445050e-02,1.067739e+01,9.776885e+00
-8.444770e-02,1.067739e+01,9.776885e+00
-8.444490e-02,1.080603e+01,9.776885e+00
-8.444210e-02,1.080603e+01,9.776885e+00
-8.443930e-02,1.080603e+01,9.776885e+00
-8.443650e-02,1.067739e+01,9.905528e+00
-8.443370e-02,1.080603e+01,9.776885e+00
-8.443090e-02,1.080603e+01,9.905528e+00
-8.442810e-02,1.080603e+01,9.776885e+00
-8.442530e-02,1.080603e+01,9.905528e+00
-8.442250e-02,1.067739e+01,9.776885e+00
-8.441970e-02,1.067739e+01,9.776885e+00
-8.441690e-02,1.080603e+01,9.776885e+00
-8.441410e-02,1.067739e+01,9.905528e+00
-8.441130e-02,1.080603e+01,9.776885e+00
-8.440850e-02,1.080603e+01,9.776885e+00
-8.440570e-02,1.080603e+01,9.776885e+00
-8.440290e-02,1.067739e+01,9.776885e+00
-8.440010e-02,1.080603e+01,9.776885e+00
-8.439730e-02,1.080603e+01,9.776885e+00
-8.439450e-02,1.067739e+01,9.776885e+00
-8.439170e-02,1.067739e+01,9.776885e+00
-8.438890e-02,1.080603e+01,9.905528e+00
-8.438610e-02,1.067739e+01,9.776885e+00
-8.438330e-02,1.080603e+01,9.776885e+00
-8.438050e-02,1.067739e+01,9.776885e+00
-8.437770e-02,1.067739e+01,9.776885e+00
-8.437490e-02,1.067739e+01,9.776885e+00
-8.437210e-02,1.067739e+01,9.776885e+00
