sweep,filename,rpot_ohm,n_maxima,rpot_source,nominal_rpot_ohm,n_branches,n_slopes,unresolved_pct,cluster_pct,mean_T_us,median_T_us,mean_vs_median_pct,mean_ln_abs_fprime,lambda_map_per_s,lambda_map_err_per_s,lambda_map_err_stat,lambda_map_err_width,map_r2_within_branch,lambda_rosenstein_per_s,lambda_rosenstein_err_per_s,rosenstein_fit_r2,rosenstein_status,status,u_r_block_ohm,dt_s,u_lambda_timebase_per_s,lambda_timebase_25ppm_component_per_s,lambda_error_status
back,trace1.csv,2.7,1428,divider sidecar (R0=992 ohm),,0,0,,,349.9741,350.0,-0.01,,,,,,,3.37,0.68,0.0094,ok,map spread 0.078 V below --min-spread,0.05042528501856224,1.000000000001e-06,,4.8641760179225974e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
back,trace2.csv,36.61,1426,divider sidecar (R0=992 ohm),,0,0,,,350.5782,351.0,-0.12,,,,,,,2.06,0.84,0.0041,ok,map spread 0.070 V below --min-spread,0.04435151193773063,1.000000000001e-06,,2.973353886326573e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
back,trace3.csv,66.62,1424,divider sidecar (R0=992 ohm),,0,0,,,351.0991,351.0,0.03,,,,,,,1.03,1.03,0.0012,ok,map spread 0.046 V below --min-spread,0.04322622188016393,1.000000000001e-06,,1.4866769431632865e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
back,trace4.csv,101.13,1421,divider sidecar (R0=992 ohm),,0,0,,,351.7042,352.0,-0.08,,,,,,,3.75,1.12,0.016,ok,map spread 0.045 V below --min-spread,0.047192292024729826,1.000000000001e-06,,5.412658773652742e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
back,trace5.csv,133.37,1419,divider sidecar (R0=992 ohm),,0,0,,,352.2898,352.0,0.08,,,,,,,3.45,0.62,0.0147,ok,map spread 0.048 V below --min-spread,0.046964327466799544,1.000000000001e-06,,4.979646071760523e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
back,trace6.csv,170.61,1416,divider sidecar (R0=992 ohm),,0,0,,,353.0141,353.0,0.0,,,,,,,3.18,0.84,0.0106,ok,map spread 0.058 V below --min-spread,0.05147906380010125,1.000000000001e-06,,4.589934640057525e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
back,trace7.csv,200.96,1414,divider sidecar (R0=992 ohm),,0,0,,,353.644,354.0,-0.1,,,,,,,-1.02,1.39,0.0014,ok,map spread 0.063 V below --min-spread,0.057451845634317614,1.000000000001e-06,,1.472243186433546e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
back,trace8.csv,229.25,1411,divider sidecar (R0=992 ohm),,0,0,,,354.2043,354.0,0.06,,,,,,,4.08,0.78,0.0225,ok,map spread 0.072 V below --min-spread,0.0524725145378431,1.000000000001e-06,,5.888972745734184e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
back,trace9.csv,250.51,1410,divider sidecar (R0=992 ohm),,0,0,,,354.6728,355.0,-0.09,,,,,,,2.68,0.67,0.0094,ok,map spread 0.073 V below --min-spread,0.04926566070438905,1.000000000001e-06,,3.868246803570493e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
back,trace10.csv,277.79,1407,divider sidecar (R0=992 ohm),,0,0,,,355.3826,355.0,0.11,,,,,,,1.92,1.47,0.0076,ok,map spread 0.073 V below --min-spread,0.04560017311771885,1.000000000001e-06,,2.7712812921102038e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
back,trace11.csv,319.46,1403,divider sidecar (R0=992 ohm),,0,0,,,356.4358,357.0,-0.16,,,,,,,3.88,0.92,0.0288,ok,map spread 0.055 V below --min-spread,0.05063416780697567,1.000000000001e-06,,5.60029761113937e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
back,trace12.csv,356.14,1399,divider sidecar (R0=992 ohm),,0,0,,,357.4657,357.0,0.13,,,,,,,2.87,0.97,0.0206,ok,map spread 0.049 V below --min-spread,0.04740965134201849,1.000000000001e-06,,4.1424881814355655e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
