sweep,filename,rpot_ohm,n_maxima,rpot_source,nominal_rpot_ohm,n_branches,n_slopes,unresolved_pct,cluster_pct,mean_T_us,median_T_us,mean_vs_median_pct,mean_ln_abs_fprime,lambda_map_per_s,lambda_map_err_per_s,lambda_map_err_stat,lambda_map_err_width,map_r2_within_branch,lambda_rosenstein_per_s,lambda_rosenstein_err_per_s,rosenstein_fit_r2,rosenstein_status,status,u_r_block_ohm,dt_s,u_lambda_timebase_per_s,lambda_timebase_25ppm_component_per_s,lambda_error_status
forward,trace14.csv,870.5,609,divider sidecar (R0=992 ohm),,0,0,,,328.402,328.01,0.12,,,,,,,-6.72,2.47,0.041,ok,map spread 0.010 V below --min-spread,1.932664911242066,3.999999999976245e-07,,9.699484522385713e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace15.csv,881.24,609,divider sidecar (R0=992 ohm),,0,0,,,328.5,328.6,-0.03,,,,,,,0.94,0.9,0.0007,ok,map spread 0.009 V below --min-spread,2.4530346181982345,3.999999999976245e-07,,1.3567731325956205e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace16.csv,887.71,608,divider sidecar (R0=992 ohm),,0,0,,,328.7262,328.79,-0.02,,,,,,,-1.59,1.9,0.0013,ok,map spread 0.009 V below --min-spread,1.5738214748886632,3.999999999976245e-07,,2.2949673200287626e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace17.csv,891.03,608,divider sidecar (R0=992 ohm),,0,0,,,328.9239,328.8,0.04,,,,,,,-2.04,1.22,0.003,ok,map spread 0.012 V below --min-spread,1.3704038269603487,3.999999999976245e-07,,2.944486372867092e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace18.csv,891.18,608,divider sidecar (R0=992 ohm),,0,0,,,329.1057,329.2,-0.03,,,,,,,-1.54,1.05,0.0019,ok,map spread 0.010 V below --min-spread,1.2656357740468487,3.999999999976245e-07,,2.2227985363800594e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace19.csv,886.75,607,divider sidecar (R0=992 ohm),,0,0,,,329.3637,329.59,-0.07,,,,,,,-1.71,2.42,0.0019,ok,map spread 0.010 V below --min-spread,1.2435981250348214,3.999999999976245e-07,,2.4681724007856505e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace20.csv,886.16,607,divider sidecar (R0=992 ohm),,0,0,,,329.703,329.99,-0.09,,,,,,,-1.72,2.14,0.0047,ok,map spread 0.009 V below --min-spread,0.7541152699235759,3.999999999976245e-07,,2.482606157515391e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace21.csv,885.56,607,divider sidecar (R0=992 ohm),,0,0,,,329.7914,329.99,-0.06,,,,,,,0.69,1.24,0.0004,ok,map spread 0.010 V below --min-spread,0.7186304373392876,3.999999999976245e-07,,9.959292143521045e-06,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace22.csv,886.8,606,divider sidecar (R0=992 ohm),,0,0,,,329.9689,330.0,-0.01,,,,,,,0.6,2.76,0.0007,ok,map spread 0.010 V below --min-spread,0.9476674271523082,3.999999999976245e-07,,8.660254037844387e-06,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace23.csv,886.28,605,divider sidecar (R0=992 ohm),,0,0,,,330.1881,330.2,-0.0,,,,,,,-1.2,2.39,0.0008,ok,map spread 0.010 V below --min-spread,0.6031693093583453,3.999999999976245e-07,,1.7320508075688774e-05,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
